Question,Products_name
6 разных пицц c пепперони,"[""Пепперони Фреш Medium"",""Пепперони Medium"",""Двойная пепперони Medium"",""Четыре сезона"",""Мясная Medium"",""Домашняя Medium""]"
Паста Песто,"[""Паста Песто""]"
7 пицц,"[""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
Dodo Mix Small,"[""Додо Микс Small""]"
две любых пасты ,"[""Паста Мясная"",""Паста Песто""]"
пиццу хочу,"[""Пепперони Medium""]"
Домашняя Small,"[""Домашняя Small""]"
шоколадные палочки,"[""Слоеные палочки с ананасами и шоколадным соусом 8.0""]"
Бургер-пицца Medium,"[""Бургер-пицца Medium""]"
маленькую классическую пиццу,"[""Пепперони Small""]"
BonaAqua non-carbonated water 0.5,"[""Вода БонаАква негазированная  0.5""]"
Баварская Medium,"[""Баварская Medium""]"
kids little pizza,"[""Додо Микс Small""]"
шаурму и коктель,"[""Додстер"",""Коктейль с Орео (фризер) 0.3""]"
коктейль с орео,"[""Коктейль с Орео (фризер) 0.3""]"
17 pizzas without meat,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
Сорбет Турецкий гранат с клубникой,"[""Сорбет Турецкий гранат с клубникой""]"
коктейль со вкусом орео,"[""Коктейль с Орео (фризер) 0.3""]"
Пицца от шефа Small,"[""Пицца от шефа Small""]"
доступный обед,"[""Добрый Кола Small"",""Пепперони Фреш Small""]"
Чоризо фреш Medium,"[""Чоризо фреш Medium""]"
8 человек хотим только пиццы,"[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
bruslettes and a couple of pizzas,"[""Аррива! Medium"",""Бруслетики"",""Колбаски барбекю Medium""]"
Горячий сорбет апельсин и облепиха 0.3,"[""Горячий сорбет апельсин и облепиха 0.3""]"
пиццу на томатном соусе,"[""Бургер-пицца Medium"",""Сырный соус Додо""]"
с ветчиной пиццу бы и что-нибудь сладенькое с шоколадом внутри,"[""Ветчина и сыр Small"",""Фондан""]"
"Собираемся смотреть футбол с другом, посоветуй что взять","[""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
большой горячий Чай Черный 0.4,"[""Чай Черный 0.4""]"
пицца где много соуса,"[""Бургер-пицца Medium""]"
на томатной основе,"[""Диабло Large""]"
10 пицц среднего размера,"[""Четыре сезона  Medium"",""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium""]"
Пиццу с грибами без овощей,"[""Пицца Жюльен Small""]"
Dobry Cola Big,"[""Добрый Кола Big""]"
Кус Бекон BBQ Римская (4 кусочка) (тест 90 минут),"[""Кус Бекон BBQ Римская (4 кусочка) (тест 90 минут)""]"
Омлет с песто на утро (омлет),"[""Омлет с песто""]"
пиццу и шоколадный сладкий десерт,"[""Пепперони Фреш Small"",""Фондан""]"
Кус Грибная Римская (4 кусочка) ( 90 минут),"[""Кус Грибная Римская (4 кусочка) ( 90 минут)""]"
"придумай мне заказ на 5 человек с пиццами и закусками, все пиццы среднего размера","[""Грибной Стартер"",""Додстер"",""Острый Додстер"",""Пепперони Фреш Medium"",""Сырная Medium"",""Сырный Стартер"",""Чоризо фреш Medium""]"
три пиццухи на 7 человек и 2 Десерта по типу кексов,"[""Маффин Соленая карамель"",""Маффин Соленая карамель"",""Пепперони Фреш Medium"",""Цыпленок карри Medium"",""Чоризо фреш Medium""]"
завтрак и кофе для Алерона,"[""Кофе Латте 0.4"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
3 пиццы и закуска на 1000 рублей,"[""Додстер"",""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
перекус для мамы и ребенка,"[""Додстер"",""Пицца Миксик Small""]"
21 средняя пицца маргарита,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
маленькую порцию пирожных с брусникой,"[""Бруслетики 130.0""]"
children's order for a child with a large amount of cheese,"[""Картофель из печи"",""Пицца Миксик Small""]"
Накормить Карину бюджетно очень,"[""Добрый Кола Small"",""Додстер""]"
pizza with meat and one without onion,"[""Сырная Small"",""Двойной цыпленок Medium""]"
коктейль со вкусом черно-белых печенек,"[""Коктейль с Орео 0.3""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Нежный цыпленок"",""Митболы"",""Острая чоризо"",""Соус Бургер""","[""Додо Medium"",""Супермясной Додстер""]"
комбо из пицц на двоих человек и закуска перекус,"[""Додстер"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
что-нибудь сладкое это чизкейк с бананом,"[""Чизкейк Банановый с шоколадным печеньем 100.0""]"
Waffle cone,"[""Вафельный рожок""]"
8 people only want pizza,"[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
Трубочка сладкая,"[""Трубочка""]"
Кофе и чай,"[""Rich Tea Черный с лимоном 0.5"",""Кофе Капучино 0.2""]"
Овощи и грибы Medium,"[""Овощи и грибы Medium""]"
пицца с колой,"[""Двойной цыпленок Small"",""Добрый Кола Big""]"
пицца 25 см и напиток,"[""Двойной цыпленок Small"",""Сок Rich Яблоко 0.3""]"
Омлет Сырный,"[""Омлет Сырный""]"
пиццу мясо и грибы и что-то еще,"[""Ветчина и грибы Medium"",""Додо Medium""]"
Кус Песто Римская (4 кусочка) ( тест 90 минут ),"[""Кус Песто Римская (4 кусочка) ( тест 90 минут )""]"
два напитка,"[""Rich Tea Зеленый с манго 0.5"",""Добрый Кола Small""]"
фруктовое миндальное печенье,"[""Макарон манго-маракуйя""]"
"очень сытный обед на меня, ноль паст и ноль десертов","[""Ветчина и сыр Small"",""Додстер""]"
"ланчбокс с картофелем и кусочками, популярный соус сырный додо и маленькую ранч с чесноком","[""Ланчбокс с куриными кусочками"",""Сырный соус Додо"",""Цыпленок ранч Small""]"
2 pizzas and a drink,"[""Добрый Кола Big"",""Ветчина и грибы Small"",""Ветчина и сыр Small""]"
"закуску с курицей и картофлем внутри, что-то сладкое и не забудь соуса","[""Ланчбокс с куриными кусочками"",""Малиновое варенье"",""Сырники с малиновым вареньем"",""Сырный соус Додо""]"
2 маленьких пиццы на двоих,"[""Пепперони Фреш Small"",""Сырная Small""]"
Карбонара (без свинины) Small,"[""Карбонара (без свинины) Small""]"
twenty nine (29) coffees,"[""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3""]"
прикольный необычный нестандартный капучино,"[""Кофе Карамельный Капучино 0.3""]"
что-то легкое на перекус и позавтракать,"[""Дэнвич ветчина и сыр"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
"на двоих пиццу, сок и закуску","[""Добрый Апельсин 0.5"",""Додстер"",""Сырный соус Додо"",""Четыре сезона  Small""]"
"Мясная пицца, сок","[""Мясная Medium"",""Добрый Апельсин 0.5""]"
Картофельные оладьи Big,"[""Картофельные оладьи Big""]"
Сырники без топпинга (тест завтраков) Small,"[""Сырники без топпинга (тест завтраков) Small""]"
мангово-ананасовые палочки слойки,"[""Слоеные палочки с соусом манго и ананасами 8.0""]"
"я один, но я бы попробовал сразу две пицца как одну и еще моя маленькая дочка не любит пиццы, она хочет донер","[""Додстер"",""Пицца из половинок Large""]"
Ветчина и сыр Small,"[""Ветчина и сыр Small""]"
"Сироп карамельный 0,4 Big","[""Сироп карамельный 0,4 Big""]"
"три пиццы с ветчиной, грибами и сыром","[""Ветчина и грибы Small"",""Ветчина и сыр Small"",""Сырная Small""]"
Две испанские пиццы и две популярные,"[""Аррива! Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
Шоколадный кукис NEW,"[""Шоколадный кукис NEW""]"
Двойной цыпленок Medium,"[""Двойной цыпленок Medium""]"
8 додстеров,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер"",""Додстер Карри""]"
Четыре сезона  Medium,"[""Четыре сезона  Medium""]"
несколько пицц и десерт,"[""Бруслетики"",""Ветчина и грибы Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
"two fruit drinks, cranberries and currants, each 0.45","[""Морс Клюква 0.45"",""Морс Черная смородина 0.45""]"
Маффин Три шоколада,"[""Маффин Три шоколада""]"
hungry want to eat and sweet,"[""Бруслетики"",""Додстер""]"
Мне грустно (,"[""Пепперони Фреш Medium"",""Чизкейк Нью-Йорк (новая упаковка)"",""Фондан"",""Маффин Три шоколада""]"
Rustic with boiled pork Small,"[""Деревенская с бужениной Small""]"
Кокосовый молочный коктейль 0.3,"[""Кокосовый молочный коктейль 0.3""]"
обычный чизкейк,"[""Чизкейк Нью-Йорк (новая упаковка) 100.0""]"
"two pizzas for two girlfriends, two drinks","[""Пепперони Small"",""Четыре сыра Small"",""Rich Tea Зеленый с манго 0.5"",""Добрый Кола Small""]"
Гавайская с альфредо Large,"[""Гавайская с альфредо Large""]"
Что есть для веганов?,"[""Овощи и грибы Medium""]"
4 pizzas with different size with less meat and more vegetables or cheese,"[""Пепперони Фреш Medium"",""Песто Small"",""Сырная Medium"",""Чоризо фреш Medium""]"
"5 пицц, выгодно, комбо","[""Маргарита Medium"",""Четыре сезона  Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium""]"
"Можно 7 пицц, пожалуйста","[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Пепперони Фреш Medium"",""Четыре сезона Medium""]"
две пиццы на двоих человек среднего размера с итальянскими травами,"[""Маргарита Small"",""Четыре сыра Small""]"
a large portion of cakes with condensed milk,"[""Бруслетики 270.0""]"
необычный перекус с чесноком,"[""Сырные палочки с чесноком"",""Чесночный соус ""]"
неострую пиццу,"[""Пепперони Small"",""Четыре сыра Small""]"
Гель-антисептик для рук,"[""Гель-антисептик для рук""]"
Кус Овощная,"[""Кус Овощная""]"
мафин и что-то с итальянскими травами,"[""Маффин Три шоколада"",""Карбонара Small""]"
7 пицц,"[""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium""]"
нежный легкий десерт,"[""Тирамису NEW""]"
пиццу для парня и подходящий соус для корочек,"[""Мясной Микс с пастрами из говядины Medium"",""Чесночный соус ""]"
Добрый Апельсин 0.5,"[""Добрый Апельсин 0.5""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю"",""соус Ранч"",""ветчина"",""томаты"",""чеснок""","[""Цыпленок барбекю Small"",""Цыпленок ранч Small""]"
поесть не пиццу и салат с десертом,"[""Паста Карбонара"",""Салат Цезарь со смесью сыров (трекинг)"",""Чизкейк Нью-Йорк (новая упаковка)""]"
Пепперони Римская (4 кусочка) Small,"[""Пепперони Римская (4 кусочка) Small""]"
чай зеленый липтон или нести (nesty tea),"[""Rich Tea Зеленый с манго 0.5""]"
"Без мяса, полегче","[""Овощи и грибы Small""]"
"Любимые пиццы и фильтма ""Притворись моей женой""","[""Пепперони Фреш Medium"",""Четыре сезона  Medium""]"
Добрый Кола Big,"[""Добрый Кола Big""]"
две пиццы на четверых ,"[""Пепперони Фреш Large"",""Сырная Large""]"
lingonberry sticks,"[""Слоеные палочки с ананасами и брусникой 8.0""]"
dodster with pasta and cheesecake,"[""Додстер"",""Паста Карбонара"",""Чизкейк Банановый с шоколадным печеньем""]"
2 пиццы,"[""Аррива! Medium"",""Бургер-пицца Medium""]"
Two Spanish pizzas and two popular ones,"[""Аррива! Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
поесть и попить со скидкой,"[""Додстер"",""Кофе Капучино 0.2""]"
Пицца от шефа с барбекю Medium,"[""Пицца от шефа с барбекю Medium""]"
Hawaiian with Alfredo Medium,"[""Гавайская с альфредо Medium""]"
пицца где много мяса,"[""Мясной Микс с пастрами из говядины Large""]"
Большую арриву,"[""Аррива! Large""]"
Магнит на холодильник «I want to believe»,"[""Магнит на холодильник «I want to believe»""]"
завтрак что нибудь сладкое и полезное,"[""Малиновое варенье"",""Сырники с малиновым вареньем""]"
маффин с шоколадом,"[""Маффин Три шоколада 120.0""]"
Хочу всего по одному,"[""Сырники с малиновым вареньем"",""Цыпленок ранч Medium"",""Диабло Medium"",""Сырная Small"",""Чизкейк Нью-Йорк (новая упаковка)"",""Пицца от шефа Large"",""Салат Цезарь со смесью сыров (трекинг)"",""Аррива! Small"",""Морс Клюква 0.45"",""Морс Вишня 0.45"",""Мясная Small"",""Коктейль Классический 0.3"",""Кофе Карамельный Капучино 0.3"",""Бруслетики"",""Чоризо фреш Medium"",""Паста Песто"",""Паста Мясная"",""Пепперони Фреш Medium"",""Морс Черная смородина 0.45"",""Додстер"",""Малиновое варенье"",""Песто Medium"",""Паста Карбонара""]"
"Можно 8 пицц, пожалуйста","[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium"",""Аррива! Medium"",""Бургер-пицца Medium""]"
"Мы голодные как демоны, давай самое острое что есть на двоих, выгодный размер пиццы","[""Диабло Large""]"
пиццу из фильма Душа и одну мясную ,"[""Пепперони Фреш Medium"",""Супермясной Додстер""]"
коктейль со вкусом черно-белых печенек,"[""Коктейль с Орео (фризер) 0.3""]"
самое лучшее что у вас есть для меня и моего друга,"[""Додо Small"",""Пицца от шефа Small""]"
Сытный и вкусный обед без пиццы ,"[""Картофель из печи с сырным соусом Big"",""Куриные кусочки"",""Салат Цезарь со смесью сыров (трекинг)"",""Сырный соус Додо""]"
Додстер Карри,"[""Додстер Карри""]"
"с кайфом бы перекусил чем-ниудь вкусным, но пиццу не хочу, и сладкое надоело, вот бы что-то новенькое для меня одного","[""Крылья «Барбекю»"",""Сырные палочки с песто"",""Чесночный соус ""]"
3 pizzas from 999 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
Многоразовая маска,"[""Многоразовая маска""]"
two children's pizzas,"[""Пицца Миксик Small""]"
с ветчиной,"[""Ветчина и грибы Small""]"
"две пиццы, чтобы одна была острая, вторая с курицей","[""Диабло Medium"",""Цыпленок ранч Medium""]"
Комбо Обед с кофе капучино,"[""Додстер"",""Картофель из печи"",""Кофе Капучино 0.2""]"
завтрак с Кофе,"[""Кофе Латте 0.2"",""Омлет с песто в пите""]"
ланч перекусть и кофе,"[""Дэнвич ветчина и сыр"",""Кофе Капучино 0.4""]"
Картофель из печи с сырным соусом Big,"[""Картофель из печи с сырным соусом Big""]"
кофе и острую пиццу,"[""Кофе Латте 0.4"",""Диабло Small""]"
Пепперони Фреш Small,"[""Пепперони Фреш Small""]"
Ветчина и сыр Large,"[""Ветчина и сыр Large""]"
2 pizzas and a drink,"[""Аррива! Small"",""Колбаски барбекю Small"",""Добрый Кола Big""]"
брусничные палочки,"[""Слоеные палочки с ананасами и брусникой 8.0""]"
"""сырный соус"",""цыпленок"",""томаты"",""моцарелла"",""смесь сыров"",""соус альфредо"",""чеснок"",""томатный соус"",""пикантная пепперони"",""ветчина"",""кубики брынзы"",""шампиньоны"",""итальянские травы""","[""Сырный цыпленок Medium"",""Четыре сезона  Medium""]"
хочу пожрать что-нибудь сладкое и одну пасту с сыром,"[""Паста Мясная"",""Маффин Три шоколада""]"
"ноль паст, один додстер и одна маргарита","[""Маргарита Small"",""Супермясной Додстер""]"
Вафельный рожок,"[""Вафельный рожок""]"
4 вида десертных сладких слоек ,"[""Слоеные палочки с ананасами и брусникой 8.0"",""Слоеные палочки с ананасами и шоколадным соусом 8.0"",""Слоеные палочки с брусникой и клюквенным соусом 8.0"",""Слоеные палочки с соусом манго и ананасами 8.0""]"
"хочу одну мясную и одну сырную, и какую-нибудь веганскую","[""Мясной Микс с пастрами из говядины Small"", ""Сырная Medium"", ""Овощи и грибы Medium""]"
Кус Чоризо с овощами Римская (4 кусочка),"[""Кус Чоризо с овощами Римская (4 кусочка)""]"
семь додстеров,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер""]"
коктейль со вкусом шоколада,"[""Коктейль Шоколадный 0.3""]"
Кофе Капучино 0.3,"[""Кофе Капучино 0.3""]"
необычный десерт,"[""Чизкейк Нью-Йорк (новая упаковка)""]"
Чизкейк Банановый с шоколадным печеньем,"[""Чизкейк Банановый с шоколадным печеньем""]"
"грибную пиццу, но не Ветчина и грибы! Додстер с собой","[""Додстер"",""Пицца Жюльен Small""]"
Детский сок “Добрый” Яблоко 0.2,"[""Детский сок “Добрый” Яблоко 0.2""]"
"попить не газировку, ягодный морс или сок","[""Морс Клюква 0.45""]"
побаловать себя вкусным,"[""Карамельное яблоко молочный коктейль 0.3"",""Малиновое варенье"",""Мороженое в стаканчике с манго и маракуйей""]"
Сырники со сгущенным молоком Small,"[""Сырники со сгущенным молоком Small""]"
Кус Чоризо с овощами Римская,"[""Кус Чоризо с овощами Римская""]"
Подарочный сертификат 1000 ₽ (локальный маркетинг),"[""Подарочный сертификат 1000 ₽ (локальный маркетинг)""]"
интересная пицца с соусом плюс пицца с сыром также какая нибудь пикантная пицца,"[""Бургер-пицца Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Четыре сезона  Medium"",""Чоризо фреш Medium""]"
"Хочу два нестандартных примера, настроение быть свободным. Вкус лета, настроение отпуска на море.","[""Пицца из половинок Large"",""Слоеные палочки с соусом манго и ананасами""]"
"dodster, cola and lipton please","[""Додстер"",""Rich Tea Зеленый с манго 0.5"",""Добрый Кола Small""] "
Dodster Pesto,"[""Додстер Песто""]"
закажи на двоих человек пиццу,"[""Карбонара Small"",""Пепперони Small""]"
Бруслетики и выбери мне любую маленькую пиццу плюс чесночный,"[""Бруслетики"",""Сырная Small"",""Сырный соус Додо""]"
"Можно заказать соус ""Додо Барбекю"", небольшую пиццу с ветчиной и грибами, большую порцию ""Добрый Кола"" и перекус в виде аппетитных закусок ""Додстер"".","[""Барбекю соус Додо"",""Ветчина и грибы Small"",""Добрый Кола Big"",""Додстер""]"
Mushroom (pieces) Large,"[""Грибная (кусочки) Large""]"
кофе и додстер чтоб начать этот день,"[""Додстер"",""Кофе Латте 0.4""]"
Домашняя Medium,"[""Домашняя Medium""]"
ранч и донер,"[""Острый Додстер"",""Соус Ранч/Чесночный""]"
Кус Бекон BBQ Римская (4 кусочка),"[""Кус Бекон BBQ Римская (4 кусочка)""]"
самая вкусная пицца,"[""Додо Микс Large""]"
Сгущенное молоко,"[""Сгущенное молоко""]"
небольшой перекус на одного с мясной пиццей,"[""Додо Микс Small"",""Сырный соус Додо""]"
перекусить закуски попуярные на одного,"[""Додстер"",""Салат Цезарь со смесью сыров (трекинг)""]"
пицца с курицей и попить что-нибудь без сахара,"[""Аррива! Medium"",""Добрый Кола без сахара Big""]"
3 пиццы от 1199 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
Dodo Mix Medium,"[""Додо Микс Medium""]"
Коктейль с Орео (фризер) 0.3,"[""Коктейль с Орео (фризер) 0.3""]"
слоенки с брусникой и клюквой,"[""Слоеные палочки с брусникой и клюквенным соусом 8.0""]"
с овощами и без перца,"[""Овощи и грибы Small""]"
"Что мне выбрать, пиццу Карбонара или пиццу Песто? Выбери вместе меня","[""Карбонара Small"",""Чесночный соус ""]"
куриные крылья ,"[""Крылья «Барбекю»""]"
Письмо от управляющего,"[""Письмо от управляющего""]"
2 Додстера,"[""Додстер"",""Додстер с ветчиной ""]"
big pizza with several kind of meat ,"[""Мясная Large""]"
просто три пиццы,"[""Ветчина и грибы Small"",""Двойной цыпленок Small"",""Сырная Small""]"
Цыпленок ранч Medium,"[""Цыпленок ранч Medium""]"
"хочу чего-нибудь вредного, но без теста","[""Барбекю соус Додо"",""Ланчбокс с крыльями барбекю"",""Сырные палочки с чесноком"",""Чесночный соус ""]"
2 cheesecakes and a drink,"[""Кофе Капучино 0.2"",""Малиновое варенье"",""Сырники без топпинга""]"
Омлет Сырный в пите,"[""Омлет Сырный в пите""]"
tasty drink with pizza,"[""Коктейль Шоколадный 0.3"",""Сырная Medium""]"
Додо Микс Small,"[""Додо Микс Small""]"
Пиццу на 2х,"[""Пепперони Фреш Large""]"
"6 разных пицц, разные названия","[""Ветчина и сыр Medium"",""Маргарита Medium"",""Пепперони Фреш Medium"",""Песто Small"",""Ветчина и грибы Medium"",""Цыпленок ранч Medium""]"
хочу пиццу для детей,"[""Пицца Миксик Small""]"
без глютена,"[""Ланчбокс с куриными кусочками"",""Сырный соус Додо"",""Сырный цыпленок Small""]"
Хочу пиццу с ананасами,"[""Гавайская с альфредо Large""]"
"Пожалуйста, порекомендуйте мне пиццу с гавайскими нотками и нежным альфредо соусом в среднем размере.","[""Гавайская с альфредо Medium""]"
коктейль с яблоком,"[""Карамельное яблоко молочный коктейль (фризер) 0.3""]"
с мясом какую нибудь,"[""Цыпленок ранч Small""]"
Таежный чай 0.4,"[""Таежный чай 0.4""]"
"у меня аллергия на грибы и овощи, посоветуй какую-нибудь пиццу","[""Четыре сыра Medium""]"
Arriva! small,"[""Аррива! Small""]"
просто фондан,"[""Фондан 80.0""]"
tasty drink with small pizza,"[""Добрый Апельсин 0.5"",""Песто Small""]"
"разные закуски перекусить, без кофе и напитков ","[""Грибной Стартер"",""Додстер""]"
Кофе Ореховый латте 0.2,"[""Кофе Ореховый латте 0.2""]"
Ham and Cheese Medium,"[""Ветчина и сыр Medium""]"
коктейль с яблоком,"[""Карамельное яблоко молочный коктейль 0.3""]"
Мороженое в стаканчике с манго и маракуйей,"[""Мороженое в стаканчике с манго и маракуйей""]"
Картофель из печи,"[""Картофель из печи""]"
Добрый Манго-Маракуйя 0.5,"[""Добрый Манго-Маракуйя 0.5""]"
"хочу обед с кофе без пиццы и без десертов, с курицей и мясом","[""Кофе Латте 0.4"",""Паста Карбонара"",""Салат Цезарь со смесью сыров (трекинг)""]"
Лёгкий ужин на одного вегетарианца,"[""Овощи и грибы Small""]"
пиццу на итальянский манер,"[""Песто Medium""]"
Кус Грибная Римская 8 шт ( тест 90 минут),"[""Кус Грибная Римская 8 шт ( тест 90 минут)""]"
у меня 700 рублей я хочу поесть и попить,"[""Ветчина и грибы Small"",""Добрый Кола Big"",""Острый Додстер"",""Чесночный соус ""]"
маленькую пиццу и кофе,"[""Кофе Латте 0.4"",""Песто Small""]"
large portion of brownies,"[""Рулетики с корицей 220.0""]"
Кофе Двойной Эспрессо 0.06,"[""Кофе Двойной Эспрессо 0.06""]"
10 напитков и одна пицца,"[""Добрый Кола Small"",""Сырная Small""]"
"пицца, большая","[""Бургер-пицца Large""]"
Чоризо фреш Small,"[""Чоризо фреш Small""]"
"суп, доддстер, пицца, десерт, салат и кофе","[""Додстер"",""Кофе Латте 0.4"",""Томатный суп с митболами"",""Салат Цезарь со смесью сыров (трекинг)"",""Сырная Small"",""Чизкейк Нью-Йорк (новая упаковка)""]"
"маленькую пиццу с грибами, но без ветчины","[""Пицца Жюльен Small""]"
a large portion of cakes with condensed milk and lingonberries,"[""Бруслетики 270.0""]"
"dodster for mom, chicken pieces for son (daughter) and one large potato from the oven with cheese sauce","[""Додстер"",""Картофель из печи с сырным соусом Big"",""Куриные кусочки"",""Сырный соус Додо""]"
набор из напитка и пиццы средней,"[""Добрый Кола Big"",""Пепперони Фреш Medium""]"
Double Chick Large,"[""Двойной цыпленок Large""]"
5 pizzas,"[""Четыре сезона  Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium""]"
"Я не ем мясо, выбор у меня, как правило, скудный . Можешь ли ты мне помочь ?","[""Маргарита Medium"",""Овощи и грибы Medium"",""Четыре сыра Medium""]"
"напиток, но не колу","[""Добрый Лайм-Лимон 0.5""]"
пицца со сладким перцем и два разных додстера,"[""Додстер"",""Додстер Карри"",""Супермясной Додстер""]"
как соблазнить девушку,"[""Коктейль Клубничный 0.3""]"
"заказ на 4 человека и десерт для 2 детей, 1 человек не есть мясо","[""Барбекю соус Додо"",""Картофель из печи"",""Пепперони Фреш Medium"",""Сырная Medium"",""Сырный соус Додо"",""Чизкейк Нью-Йорк (новая упаковка)"",""Чоризо фреш Medium""]"
хочу жрать не важно что но главное посытнее но мясо и грибы не люблю,"[""Бруслетики"",""Морс Клюква 0.45"",""Салат Цезарь со смесью сыров (трекинг)"",""Сырные палочки с песто""]"
додстер,"[""Додстер""]"
детская маленькая пицца,"[""Додо Микс Small""]"
Можно напиток,"[""Добрый Лайм-Лимон 0.5""]"
Кофе и что-то острое,"[""Острый Додстер"",""Кофе Латте 0.4""]"
Две халяльных пиццы,"[""Двойной цыпленок""]"
Теплый бамбл кофе Big,"[""Теплый бамбл кофе Big""]"
Палочки с брусникой и клюквой,"[""Слоеные палочки с брусникой и клюквенным соусом 8.0""]"
Кус Пепперони Римская (4 кусочка) (тест 90 минут),"[""Кус Пепперони Римская (4 кусочка) (тест 90 минут)""]"
3 pizzas from 1199 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Чоризо фреш Small""]"
Good Mango-Passionfruit 0.5,"[""Добрый Манго-Маракуйя 0.5""]"
"закуска салат, healthy","[""Салат Цезарь со смесью сыров (трекинг)""]"
Dodo Large,"[""Додо Large""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю"",""соус Ранч"",""ветчина"",""томаты"",""чеснок""","[""Цыпленок барбекю Medium"",""Цыпленок ранч Medium""]"
Bavarian Large,"[""Баварская Large""]"
